Name,Species,Country,Latitude,Longitude,DateCollected
BDE286-19|Zerynthia rumina|COI-5P,rumina,Portugal,37.151,-7.735,5/4/12
BDE461-19|Zerynthia rumina|COI-5P,rumina,Spain,40.1651,-6.74178,5/17/16
BDE471-19|Zerynthia rumina|COI-5P,rumina,Spain,39.6483,-7.50528,5/18/16
DE536-19|Zerynthia rumina|COI-5P,rumina,Spain,36.9154,-4.09059,5/10/17
BDE558-19|Zerynthia rumina|COI-5P,rumina,Portugal,37.2929,-8.56673,5/17/17
BDE569-19|Zerynthia rumina|COI-5P,rumina,Spain,38.0615,-6.27032,5/19/17
BDE577-19|Zerynthia rumina|COI-5P,rumina,Spain,37.5353,-4.31718,5/11/17
EZSPM346-09|Zerynthia rumina|COI-5P|GU675892,rumina,Spain,40.015,-0.354,3/16/09
EZSPN089-09|Zerynthia rumina|COI-5P|GU676842,rumina,Spain,36.989,-3.15,5/21/06
EZSPN1041-11|Zerynthia rumina|COI-5P|JN275715,rumina,Spain,42.423,-2.926,4/14/08
EZSPN1123-11|Zerynthia rumina|COI-5P|JN275716,rumina,Spain,40.937,0.809,3/6/11
EZSPN191-09|Zerynthia rumina|COI-5P|GU677025,rumina,Spain,41.316,1.727,4/24/07
EZSPN352-09|Zerynthia rumina|COI-5P|GU676683,rumina,Spain,40.467,-4.477,4/25/08
EZSPN366-09|Zerynthia rumina|COI-5P|GU676672,rumina,Spain,39.535,-0.459,3/21/08
EZSPN382-09|Zerynthia rumina|COI-5P|GU676664,rumina,Spain,40.373,-3.366,4/27/08
EZSPN383-09|Zerynthia rumina|COI-5P|GU676653,rumina,Spain,40.373,-3.366,4/27/08
EZSPN402-09|Zerynthia rumina|COI-5P|GU676635,rumina,Spain,40.786,-3.824,6/12/08
EZSPN456-09|Zerynthia rumina|COI-5P|GU676591,rumina,Spain,36.619,-5.488,5/3/08
EZSPN460-09|Zerynthia rumina|COI-5P|GU676867,rumina,Spain,36.748,-5.347,5/3/08
EZSPN498-09|Zerynthia rumina|COI-5P|GU676903,rumina,Spain,40.334,-5.799,6/15/08
EZSPN604-09|Zerynthia rumina|COI-5P|GU676535,rumina,Spain,41.465,0.02,3/30/08
TAMIC829-10|Lepidoptera|COI-5P|HQ978009-SUPPRESSED,rumina,Spain,37.316537,-6.8202296,3/3/91
WMB262-11|Zerynthia rumina|COI-5P|MN140063,rumina,France,42.925,2.963,5/23/10
WMB272-11|Zerynthia rumina|COI-5P|MN144106,rumina,France,43.554,5.73,5/25/10
WMB3359-14|Zerynthia rumina|COI-5P|MN141177,rumina,Spain,42.865,-5.937,6/2/09
WMB3422-14|Zerynthia rumina|COI-5P|MN141300,rumina,France,44.071,5.356,5/18/09
WMB3710-14|Zerynthia rumina|COI-5P|MN141543,rumina,Portugal,37.151,-7.735,5/4/12
WMB4464-14|Zerynthia rumina|COI-5P|MN143234,rumina,Spain,41.4,-4.43,12/3/14
WMB4513-14|Zerynthia rumina|COI-5P|MN140601,rumina,Spain,38.487,-2.541,12/3/14
WMB4559-14|Zerynthia rumina|COI-5P|MN142337,rumina,Spain,37.8,-1.5,11/17/14
WMB4579-14|Zerynthia rumina|COI-5P|MN141951,rumina,Spain,39.677,-1.008,11/17/14
